,0
ENSRegistry,0x0754492Ea3261Bb159f5f5150E3045803A97E436
Root,0x15DBC4d56929f047C1EdC6124C51F7D13D6EB34C
ReverseRegistrar,0x619c6AEcA93AEDa5108f99d59606f0DCf813C14d
BaseRegistrarImplementation,0xa1551687fd78fE801e0425De8A0C636A22c6864d
StaticMetadataService,0x63e0a5C2E73dB043046303bc1a43166fd25DB66B
NameWrapper,0xA4601639428A11D007b2CDCE0Ed5F5146926a582
DummyOracle,0xb13d5103c0A390a235477c2CFd3e89Cd21e3d328
StablePriceOracle,0x0Aad46dd63490980778537B8aC77DeECe9Fac53B
ETHRegistrarController,0xc421c48C632de2d76F8a0e1B7896117c191410f1
PublicResolver,0x5767F779d9b49Ddee0DCce857843C67E928C40F3
Exchange,0xf95b5546821bf7EB4E441607A857362cd1A22862
